Code;Libellé;Médiane du revenu disponible par UC 2020
1429;Vandeins;23580
1430;Varambon;22720
1431;Vaux-en-Bugey;23880
1432;Verjon;22530
1433;Vernoux;20220
1434;Versailleux;25090
1435;Versonnex;37620
1436;Vesancy;39640
1437;Vescours;21030
1439;Vésines;N/A - résultat non disponible
1441;Vieu-d'Izenave;22500
1443;Villars-les-Dombes;23880
1444;Villebois;22040
1445;Villemotier;23250
1446;Villeneuve;25610
1447;Villereversure;22220
1448;Villes;30760
1449;Villette-sur-Ain;25080
1450;Villieu-Loyes-Mollon;25820
1451;Viriat;24660
1452;Virieu-le-Grand;20230
1453;Arvière-en-Valromey;22540
1454;Virignin;22670
1456;Vongnes;N/A - résultat non disponible
1457;Vonnas;21320
2001;Abbécourt;20600
2002;Achery;21150
2003;Acy;22450
2004;Agnicourt-et-Séchelles;18660
2005;Aguilcourt;23590
2006;Aisonville-et-Bernoville;22140
2007;Aizelles;21650
2008;Aizy-Jouy;20900
2009;Alaincourt;22020
2010;Allemant;21040
2011;Ambleny;23420
2012;Ambrief;N/A - résultat non disponible
2013;Amifontaine;22590
2014;Amigny-Rouy;22440
2015;Ancienville;N/A - résultat non disponible
2016;Andelain;20340
2017;Anguilcourt-le-Sart;20330
2018;Anizy-le-Grand;20110
2019;Annois;20150
2020;Any-Martin-Rieux;19350
2021;Archon;N/A - résultat non disponible
2022;Arcy-Sainte-Restitue;22340
2023;Armentières-sur-Ourcq;21990
2024;Arrancy;N/A - résultat non disponible
2025;Artemps;23220
2027;Assis-sur-Serre;19980
2028;Athies-sous-Laon;22010
2029;Attilly;23720
2030;Aubencheul-aux-Bois;21120
2031;Aubenton;17910
2032;Aubigny-aux-Kaisnes;20150
2033;Aubigny-en-Laonnois;26090
2034;Audignicourt;21540
2035;Audigny;16860
2036;Augy;N/A - résultat non disponible
2037;Aulnois-sous-Laon;21890
2038;Les Autels;N/A - résultat non disponible
2039;Autremencourt;20270
2040;Autreppes;19440
2041;Autreville;23320
2042;Azy-sur-Marne;23170
2043;Bagneux;N/A - résultat non disponible
2044;Bancigny;N/A - résultat non disponible
2046;Barenton-Bugny;21850
2047;Barenton-Cel;23880
2048;Barenton-sur-Serre;21310
2049;Barisis-aux-Bois;23210
2050;Barzy-en-Thiérache;19980
2051;Barzy-sur-Marne;24720
2052;Bassoles-Aulers;22210
2053;Vallées en Champagne;25410
2054;Bazoches-et-Saint-Thibaut;22320
2055;Beaumé;N/A - résultat non disponible
2056;Beaumont-en-Beine;21760
2057;Beaurevoir;18700
2058;Beaurieux;19340
2059;Beautor;17010
2060;Beauvois-en-Vermandois;21900
2061;Becquigny;19130
2062;Belleau;25020
2063;Bellenglise;20900
2064;Belleu;19970
2065;Bellicourt;20370
2066;Benay;22790
2067;Bergues-sur-Sambre;22010
2068;Berlancourt;N/A - résultat non disponible
2069;Berlise;N/A - résultat non disponible
2070;Bernot;21220
2071;Berny-Rivière;22700
2072;Berrieux;24960
2073;Berry-au-Bac;21740
2074;Bertaucourt-Epourdon;20940
2075;Berthenicourt;22410
2076;Bertricourt;25350
2078;Besmé;20530
2079;Besmont;18570
2080;Besny-et-Loizy;25840
2081;Béthancourt-en-Vaux;22790
2082;Beugneux;21270
2083;Beuvardes;22620
2084;Bézu-le-Guéry;24480
2085;Bézu-Saint-Germain;22860
2086;Bichancourt;21890
2087;Bieuxy;N/A - résultat non disponible
2088;Bièvres;N/A - résultat non disponible
2089;Billy-sur-Aisne;21600
2090;Billy-sur-Ourcq;22130
2091;Blanzy-lès-Fismes;N/A - résultat non disponible
2093;Blérancourt;19120
2094;Blesmes;24840
2095;Bohain-en-Vermandois;15620
2096;Bois-lès-Pargny;22610
2097;Boncourt;18840
2098;Bonneil;26230
2099;Bonnesvalyn;22600
2100;Bony;20630
2101;Bosmont-sur-Serre;20840
2102;Bouconville-Vauclair;21620
2103;Boué;20250
2104;Bouffignereux;N/A - résultat non disponible
2105;Bouresches;23360
2106;Bourg-et-Comin;19110
2107;Bourguignon-sous-Coucy;N/A - résultat non disponible
2108;Bourguignon-sous-Montbavin;23920
2109;La Bouteille;21390
2110;Braine;19820
2111;Brancourt-en-Laonnois;22420
2112;Brancourt-le-Grand;21170
2114;Brasles;22200
2115;Braye-en-Laonnois;21690
2116;Braye-en-Thiérache;19010
2117;Bray-Saint-Christophe;N/A - résultat non disponible
2118;Braye;22210
2119;Brécy;23140
2120;Brenelle;21120
2121;Breny;20230
2122;Brie;N/A - résultat non disponible
2123;Brissay-Choigny;22060
2124;Brissy-Hamégicourt;20860
2125;Brumetz;22480
2126;Brunehamel;16650
2127;Bruyères-sur-Fère;20220
2128;Bruyères-et-Montbérault;23550
2129;Bruys;N/A - résultat non disponible
2130;Bucilly;19720
2131;Bucy-le-Long;22870
2132;Bucy-lès-Cerny;21930
2133;Bucy-lès-Pierrepont;19700
2134;Buire;19780
2135;Buironfosse;18500
2136;Burelles;20840
2137;Bussiares;23310
2138;Buzancy;25790
2139;Caillouël-Crépigny;22860
2140;Camelin;20120
2141;La Capelle;18260
2142;Castres;25250
2143;Le Catelet;19540
2144;Caulaincourt;23770
2145;Caumont;23820
2146;Celles-lès-Condé;N/A - résultat non disponible
2148;Celles-sur-Aisne;22140
2149;Cerizy;N/A - résultat non disponible
2150;Cerny-en-Laonnois;N/A - résultat non disponible
2151;Cerny-lès-Bucy;26700
2152;Cerseuil;N/A - résultat non disponible
2153;Cessières-Suzy;23230
2154;Chacrise;22370
2155;Chaillevois;24570
2156;Chalandry;20970
2157;Chambry;22270
2158;Chamouille;20500
2159;Champs;20010
2160;Chaourse;19220
2162;La Chapelle-sur-Chézy;21880
2163;Charly-sur-Marne;20430
2164;Le Charmel;21420
2165;Charmes;20240
2166;Chartèves;23210
2167;Chassemy;22100
2168;Château-Thierry;18830
2169;Châtillon-lès-Sons;N/A - résultat non disponible
2170;Châtillon-sur-Oise;23950
2171;Chaudardes;N/A - résultat non disponible
2172;Chaudun;21850
2173;Chauny;18210
2174;Chavignon;21560
2175;Chavigny;20860
2176;Chavonne;20160
2177;Chérêt;24000
2178;Chermizy-Ailles;22540
2179;Chéry-Chartreuve;22150
2180;Chéry-lès-Pouilly;21760
2181;Chéry-lès-Rozoy;N/A - résultat non disponible
2182;Chevennes;18780
2183;Chevregny;25090
2184;Chevresis-Monceau;20800
2185;Chézy-en-Orxois;22810
2186;Chézy-sur-Marne;23620
2187;Chierry;24250
2188;Chigny;19920
2189;Chivres-en-Laonnois;19570
2190;Chivres-Val;21820
2191;Chivy-lès-Étouvelles;22410
2192;Chouy;22250
2193;Cierges;N/A - résultat non disponible
2194;Cilly;19670
2195;Ciry-Salsogne;23340
2196;Clacy-et-Thierret;23840
2197;Clairfontaine;22520
2198;Clamecy;22810
2199;Clastres;21370
2200;Clermont-les-Fermes;18030
2201;Cœuvres-et-Valsery;23310
2203;Coincy;19320
2204;Coingt;N/A - résultat non disponible
2205;Colligis-Crandelain;21320
2206;Colonfay;N/A - résultat non disponible
2207;Commenchon;22970
2208;Concevreux;23740
2209;Condé-en-Brie;19980
2210;Condé-sur-Aisne;22690
2211;Condé-sur-Suippe;21490
2212;Condren;21480
2213;Connigis;22330
2214;Contescourt;N/A - résultat non disponible
2215;Corbeny;21960
2216;Corcy;22820
2217;Coucy-le-Château-Auffrique;21100
2218;Coucy-lès-Eppes;20550
2219;Coucy-la-Ville;20390
2220;Coulonges-Cohan;21830
2221;Coupru;23600
2222;Courbes;N/A - résultat non disponible
2223;Courboin;21300
2224;Courcelles-sur-Vesle;20360
2225;Courchamps;N/A - résultat non disponible
2226;Courmelles;21780
2227;Courmont;23190
2228;Courtemont-Varennes;20890
2229;Courtrizy-et-Fussigny;N/A - résultat non disponible
2230;Couvrelles;23650
2231;Couvron-et-Aumencourt;19790
2232;Coyolles;22690
2233;Cramaille;22030
2234;Craonne;N/A - résultat non disponible
2235;Craonnelle;19490
2236;Crécy-au-Mont;20610
2237;Crécy-sur-Serre;19810
2238;Crépy;20040
2239;Crézancy;20300
2240;Croix-Fonsomme;20930
2241;La Croix-sur-Ourcq;N/A - résultat non disponible
2242;Crouttes-sur-Marne;23860
2243;Crouy;20380
2244;Crupilly;N/A - résultat non disponible
2245;Cuffies;21270
2246;Cugny;22510
2248;Cuirieux;17720
2249;Cuiry-Housse;22300
2250;Cuiry-lès-Chaudardes;N/A - résultat non disponible
2251;Cuiry-lès-Iviers;N/A - résultat non disponible
2252;Cuissy-et-Geny;N/A - résultat non disponible
2253;Cuisy-en-Almont;23960
2254;Cutry;23000
2255;Cys-la-Commune;20400
2256;Dagny-Lambercy;19460
2257;Dallon;26100
2258;Dammard;21810
2259;Dampleux;24750
2260;Danizy;19450
2261;Dercy;21300
2262;Deuillet;22810
2263;Dhuizel;23340
2264;Dizy-le-Gros;18950
2265;Dohis;N/A - résultat non disponible
2266;Dolignon;N/A - résultat non disponible
2267;Dommiers;20480
2268;Domptin;23340
2269;Dorengt;20440
2270;Douchy;20920
2271;Dravegny;18290
2272;Droizy;N/A - résultat non disponible
2273;Dury;21680
2274;Ébouleau;19630
2275;Effry;16980
2276;Englancourt;22880
2277;Épagny;20860
2278;Éparcy;N/A - résultat non disponible
2279;Épaux-Bézu;24150
2280;Épieds;23400
2281;L'Épine-aux-Bois;22240
